company,step_number,screen_name,required_inputs,optional_inputs,insurance_or_payment_step,clinical_screening_depth,provider_visibility,booking_visibility,payment_point,safe_stopping_point,main_strength,main_friction,legion_comparison,confidence_level,notes
"Talkspace Psychiatry","1","Reason for help / condition selection","Select one primary reason for seeking help","None observed","No insurance or payment shown yet","Low at this point","No provider shown","No booking shown","No payment shown","Continue before entering deeper personal or payment details","Simple first screen with clear condition options and clear controlled-substance disclaimer","Only one primary reason can be selected, which may undercapture overlapping mental-health needs","Legion allows multi-select conditions, which is stronger for comorbid needs. Talkspace is simpler but less flexible.","Medium","Observed options included Anxiety, ADD/ADHD, Depression, Insomnia, Bipolar disorder, Borderline personality disorder, PTSD, OCD, and Something else. Footer stated Talkspace cannot prescribe controlled substances and stimulants."
"Talkspace Psychiatry","2","Medication history question","Answer whether user has ever been prescribed medication for a mental health condition","I'm not sure option available","No insurance or payment shown yet","Low to medium","No provider shown","No booking shown","No payment shown","Continue before entering deeper personal or payment details","Good clinical routing question early in flow","Adds another clinical question before user sees pricing, provider, or booking options","Legion asks care need in a broader way. Talkspace asks a more medication-specific question earlier.","Medium","Observed options were Yes, No, and I'm not sure. User selected I'm not sure during walkthrough. Controlled-substance limitation note appeared again."
"Talkspace Psychiatry","3","Gender identity","Select gender identity","Multiple inclusive identity options observed","No insurance or payment shown yet","Low to medium","No provider shown","No booking shown","No payment shown","Continue before entering deeper personal or payment details","May improve provider matching and personalization","Adds personal-information friction before pricing, provider visibility, or booking","Legion did not ask this before provider match in the observed flow. Talkspace collects more personal matching data earlier.","Medium","Observed options included Male, Female, Transgender male, Transgender female, Gender queer, Gender variant, Other, and Non-binary."
"Talkspace Psychiatry","4","Date of birth","Enter date of birth","None observed","No insurance or payment shown yet","Low to medium","No provider shown","No booking shown","No payment shown","Continue before entering payment or final booking","Age validation is necessary for care eligibility","Talkspace splits simple demographic fields into separate screens, increasing clicks","Legion collects less demographic data before provider match in the observed flow. Talkspace has more screens before provider visibility.","Medium","DOB was requested as a standalone step."
"Talkspace Psychiatry","5","State selection","Select state where user lives most of the year","Outside US message shown","No insurance or payment shown yet","Low to medium","No provider shown","No booking shown","No payment shown","Continue before entering payment or final booking","Clear licensure routing by state","Another separate step before provider or plan visibility","Legion asked fit and eligibility questions earlier. Talkspace uses standalone state validation before payment and matching.","Medium","Observed Massachusetts selected. Copy said Talkspace would find a licensed provider in that state and does not offer psychiatry outside the US."
"Talkspace Psychiatry","6","Payment method / insurance selection","Select how to pay","Organization or EAP coverage option available","Insurance/payment step begins","Medium","No provider shown","No booking shown","No payment submitted yet","Stop before submitting real insurance details or payment","Strong insurance and EAP coverage path visibility","Insurance dropdown and payer selection happen before provider visibility","Legion shows providers and slots before payment. Talkspace pushes payment and coverage path earlier before specific provider visibility.","High","Observed options included out-of-pocket, Anthem Blue Cross and Blue Shield, UnitedHealthcare, Aetna Medical Plans, and organization or EAP coverage."
"Talkspace Psychiatry","7","Coverage verification","Enter member ID, optional group ID, name, DOB, phone, address, organization details, referral source, email, and eligibility attestation","Some fields optional","Insurance verification step","Medium","No provider shown","No booking shown","No card payment submitted yet","Stop before using real insurance information","Attempts to verify coverage before plan selection","Very high data-entry burden before provider or booking visibility","Legion's observed flow showed provider match before this level of personal and insurance-detail collection. Talkspace asks for much more before showing clinician choice.","High","A coverage verification failure was observed. Talkspace offered continue without insurance, check information and resubmit, employer/EAP coverage, or claim plan covers Talkspace."
"Talkspace Psychiatry","8","Plan selection / checkout path","Choose psychiatry plan","Multiple plan bundles available","Self-pay plan selection after coverage failure","Medium","No provider list observed before checkout","No appointment slot observed before checkout","Checkout comes before visible provider list in observed flow","Stop before checkout or payment","Clear plan options and clear statement that user will not be charged until matched","No visible provider list or appointment-slot selection before plan checkout in the observed flow","Legion is stronger on early provider visibility and slot visibility. Talkspace is stronger on packaged plan clarity but weaker on clinician transparency before checkout.","High","Observed psychiatry plan options included initial evaluation, initial evaluation plus follow-up, and initial evaluation plus three follow-ups. Page stated user would not be charged until matched with a provider."
"Talkiatry","1","Welcome / expectation-setting","Click get started","None observed","No insurance or payment submitted yet","Low","No provider shown yet","Booking promised later","No payment shown","Continue before entering account or insurance data","Excellent upfront explanation of the process","Still starts before any provider or availability visibility","Stronger than Legion on expectation-setting. Legion jumps faster into intake but explains the full process less clearly.","High","Welcome screen explained three phases: insurance and location check, clinical matching questions, and book first visit."
"Talkiatry","2","Email verification","Enter email and agree to terms","Minor/legal guardian note shown","No insurance or payment submitted yet","Low","No provider shown","No booking shown","No payment shown","Stop before using private email if needed","Early account capture and continuation ability","Email verification happens very early before provider visibility","Legion created an account later in the observed flow. Talkiatry creates identity friction earlier.","Medium","Observed authorization-code email verification screen and terms agreement checkbox."
